household_id,gender_id
1,Male
1,Female
1,Male
1,Female
1,Female
1,Male
1,Male
1,Female
2,Female
2,Male
2,Female
2,Male
2,Female
2,Female
2,Male
2,Male
2,Male
2,Female
3,Female
3,Male
3,Male
3,Female
3,Male
3,Male
3,Female
3,Female
4,Male
4,Female
4,Female
4,Male
4,Female
4,Female
4,Male
4,Male
4,Female
4,Male
4,Male
4,Female
4,Male
4,Female
4,Female
4,Female
4,Male
4,Female
4,Female
4,Male
4,Male
4,Male
5,Female
5,Male
5,Female
5,Male
5,Female
5,Male
5,Male
5,Male
5,Female
5,Male
5,Male
5,Female
5,Female
5,Female
5,Female
5,Male
5,Female
5,Male
6,Male
6,Female
6,Female
6,Male
6,Female
6,Female
6,Male
6,Male
6,Female
6,Male
6,Male
6,Female
7,Female
7,Male
7,Male
7,Female
7,Female
7,Male
7,Male
7,Female
7,Female
7,Male
8,Female
8,Female
8,Female
8,Female
9,Male
9,Female
9,Male
9,Female
9,Female
9,Female
9,Female
9,Female
9,Male
9,Male
9,Male
9,Male
10,Male
10,Female
10,Male
10,Female
10,Male
10,Male
10,Male
10,Male
10,Female
10,Male
10,Female
10,Female
10,Female
10,Female
10,Male
10,Female
11,Female
11,Male
11,Female
11,Male
11,Male
11,Female
12,Female
12,Male
12,Female
12,Male
12,Male
12,Male
12,Female
12,Male
12,Female
12,Male
12,Male
12,Female
12,Female
12,Female
13,Female
13,Male
13,Female
13,Male
13,Female
13,Male
13,Male
13,Male
13,Female
13,Female
13,Male
13,Male
13,Female
13,Female
14,Male
14,Female
14,Male
14,Female
14,Male
14,Female
14,Female
14,Male
14,Female
14,Male
15,Female
15,Male
15,Male
15,Female
16,Female
16,Male
16,Male
16,Female
16,Male
16,Female
16,Female
16,Male
17,Female
17,Male
17,Female
17,Male
17,Male
17,Female
17,Female
17,Male
17,Female
17,Female
17,Male
17,Male
17,Male
17,Female
17,Male
17,Female
17,Female
17,Male
18,Male
18,Female
18,Female
18,Male
19,Female
19,Male
19,Male
19,Female
19,Male
19,Female
20,Female
20,Female
20,Female
20,Female
21,Female
21,Male
21,Male
